,elapsed_time,EventType,BlueBallsLeft,PurpleBallsLeft,BlueLives,PurpleLives,Corner
3,0.0,S,0,0,3,3,0.0
4,1.303,PurplePickedUpBall,0,1,3,3,0.0
5,2.74,PurplePickedUpBall,0,2,3,3,0.0
6,3.096,PurplePickedUpBall,0,3,3,3,0.0
7,3.362,PurplePickedUpBall,0,4,3,3,0.0
8,3.649,PurpleThrewBall,0,3,3,3,0.0
9,3.929,HitBlue,0,3,2,3,0.0
10,5.511,PurplePickedUpBall,0,4,2,3,0.0
11,5.905,BlueDash,0,4,2,3,0.0
12,5.92,PurpleThrewBall,0,3,2,3,0.0
13,6.428,PurplePickedUpBall,0,4,2,3,0.0
14,7.262,BlueDash,0,4,2,3,0.0
15,9.38,BluePickedUpBall,1,4,2,3,0.0
16,9.896,BluePickedUpBall,2,4,2,3,0.0
17,11.294,BlueThrewBall,1,4,2,3,0.0
18,12.083,PurpleThrewBall,1,3,2,3,0.0
19,12.084,BlueThrewBall,0,3,2,3,0.0
20,12.827,PurpleThrewBall,0,2,2,3,0.0
21,12.842,HitBlue,0,2,1,3,0.0
22,13.682,PurpleThrewBall,0,1,1,3,0.0
23,13.725,HitBlue,0,1,0,3,0.0
24,13.733,GameEnd,0,1,0,3,0.0
25,15.588,PurplePickedUpBall,0,2,0,3,0.0
26,15.729,WinScreenStart,0,2,0,3,0.0
27,27.753,ResetScene,0,0,3,3,0.0
28,31.765,FinishCountDown,0,0,3,3,0.0
29,32.852,PurplePickedUpBall,0,1,3,3,0.0
30,32.906,PurplePickedUpBall,0,2,3,3,0.0
31,34.451,PurplePickedUpBall,0,3,3,3,0.0
32,36.458,BluePickedUpBall,1,3,3,3,0.0
33,36.468,PurplePickedUpBall,1,4,3,3,0.0
34,36.923,BlueThrewBall,0,4,3,3,0.0
35,36.963,HitPurple,0,4,3,2,0.0
36,42.302,BlueDash,0,4,3,2,0.0
37,43.548,BlueDash,0,4,3,2,0.0
38,43.607,BluePickedUpBall,1,4,3,2,0.0
39,44.13,BlueThrewBall,0,4,3,2,0.0
40,44.952,BlueDash,0,4,3,2,0.0
41,46.37,PurpleThrewBall,0,3,3,2,0.0
42,47.971,BlueDash,0,3,3,2,0.0
43,48.437,PurplePickedUpBall,0,4,3,2,0.0
44,49.006,BlueDash,0,4,3,2,0.0
